context_event_hour,item_callback_ratio_15d,item_callback_ratio_1d,item_callback_ratio_30d,item_callback_ratio_3d,item_callback_ratio_7d,item_click_pv_wilson_1_15d,item_click_pv_wilson_1_30d,item_click_pv_wilson_1_3d,item_click_pv_wilson_1_7d,item_click_pv_wilson_3_15d,item_click_pv_wilson_3_30d,item_click_pv_wilson_3_7d,item_collect_uv_15d,item_collect_uv_1d,item_collect_uv_30d,item_collect_uv_3d,item_collect_uv_7d,item_frontpage_agee_pv_ctr_15d,item_frontpage_agee_pv_ctr_1d,item_frontpage_agee_pv_ctr_30d,item_frontpage_agee_pv_ctr_3d,item_frontpage_agee_pv_ctr_7d,item_frontpage_click_pv_15d,item_frontpage_click_pv_1d,item_frontpage_click_pv_30d,item_frontpage_click_pv_3d,item_frontpage_click_pv_7d,item_frontpage_sight_pv_15d,item_frontpage_sight_pv_1d,item_frontpage_sight_pv_30d,item_frontpage_sight_pv_3d,item_frontpage_sight_pv_7d,item_frontpage_wilson_pv_ctr_15d,item_frontpage_wilson_pv_ctr_1d,item_frontpage_wilson_pv_ctr_30d,item_frontpage_wilson_pv_ctr_3d,item_frontpage_wilson_pv_ctr_7d,item_like_uv_15d,item_like_uv_1d,item_like_uv_30d,item_like_uv_3d,item_like_uv_7d,item_prop_author_articlenum,item_prop_author_comment_num,item_prop_author_favorites_num,item_prop_author_fellowsnum,item_prop_author_like_num,item_prop_author_share_cnt,item_prop_publishtime,item_prop_time_decay,item_quality_cover_score,item_quality_effect_score,item_quality_rare_score,item_quality_time_score,item_reply_uv_15d,item_reply_uv_1d,item_reply_uv_30d,item_reply_uv_3d,item_reply_uv_7d,item_sight_pv_wilson_1_15d,item_sight_pv_wilson_1_30d,item_sight_pv_wilson_1_3d,item_sight_pv_wilson_1_7d,item_sight_pv_wilson_3_15d,item_sight_pv_wilson_3_30d,item_sight_pv_wilson_3_7d,item_uv_15d,item_uv_1d,item_uv_30d,item_uv_3d,item_uv_7d,macth_nlp_sec_tag_avg,macth_nlp_sec_tag_max,macth_nlp_sec_tag_sum,macth_nlp_tag_avg,macth_nlp_tag_max,macth_nlp_tag_num,macth_nlp_tag_sum,macth_series_search_15d,macth_series_search_30d,macth_series_search_60d,macth_series_search_7d,macth_series_search_90d,match_item_lst_type,match_series_dur_15d,match_series_dur_30d,match_series_dur_7d,match_series_dur_maxmin_15d,match_series_dur_maxmin_30d,match_series_dur_maxmin_7d,match_series_dur_weight_15d,match_series_dur_weight_30d,match_series_dur_weight_7d,match_series_lst,match_series_pref,match_series_pv_15d,match_series_pv_30d,match_series_pv_7d,match_series_pv_maxmin_15d,match_series_pv_maxmin_30d,match_series_pv_maxmin_7d,match_series_pv_weight_15d,match_series_pv_weight_30d,match_series_pv_weight_7d,user_click_num_15d,user_click_num_30d,user_click_num_7d,user_duration_15d,user_duration_30d,user_duration_7d,rt_item_frontpage_click_pv,rt_item_frontpage_click_pv_1h,rt_item_frontpage_click_pv_3h,rt_item_frontpage_wilson_click_ratio_1_3h,rt_item_frontpage_wilson_click_ratio_1h,rt_item_frontpage_wilson_click_ratio_3h,rt_item_frontpage_wilson_ctr,rt_item_frontpage_wilson_ctr_1h,rt_item_frontpage_wilson_ctr_3h,rt_item_frontpage_wilson_sight_ratio_1_3h,rt_item_frontpage_wilson_sight_ratio_1h,rt_item_frontpage_wilson_sight_ratio_3h,rt_item_pv,rt_item_pv_1h,rt_item_pv_3h,rt_item_uv,rt_item_uv_1h,rt_item_uv_3h,rt_match_item_dgc,rt_match_item_rank,rt_match_item_weights,rt_match_series_maxmin,rt_match_series_sim_lst1,rt_match_series_sim_lst2,rt_match_series_sim_lst3,rt_match_series_sim_lst4,rt_match_series_sim_lst5,rt_match_series_sim_top1,rt_match_series_sim_top2,rt_match_series_sim_top3,rt_match_series_sim_top4,rt_match_series_sim_top5,rt_match_series_wsim_top1,rt_match_series_wsim_top2,rt_match_series_wsim_top3,rt_match_series_wsim_top4,rt_match_series_wsim_top5,rt_user_click_num,rt_user_ctr,rt_user_sight_show_num,label
11,1.398,1.374,1.398,1.406,1.404,0.08342,0.08342,0.45096,0.17688,0.17996,0.17996,0.38242,0.0038,0.00282,0.0038,0.00282,0.00322,0.16433,0.15416,0.16416,0.15696,0.16032,11.03429,8.61505,11.03429,9.36134,10.28606,12.83994,10.48414,12.83994,11.21267,12.11637,0.16137,0.14493,0.16137,0.15045,0.15611,0.00209,0.00019,0.00209,0.00015,0.00036,2.0,4.0,4.0,3.0,3.0,4.0,1666,0.435,0.564,0.99997,0.917776,0.63613,0.00308,0.00172,0.00308,0.00168,0.00241,0.09246,0.09246,0.47343,0.19089,0.19325,0.19325,0.39934,11.189,8.722,11.189,9.429,10.335,0.16,0.16,0.16,0.186,0.186,1,0.186,0.0,0.0,0.0,0.0,0.0,1.0,5.784,5.784,3.401,0.313,0.239,0.049,0.031,0.02,0.007,0.0,0.047,4.159,4.159,0.693,0.13,0.1,0.004,0.014,0.011,0.001,4.92,5.308,4.234,7.257,7.105,6.953,6.863,4.174,5.943,0.09343,0.03659,0.32193,0.11717,0.06461,0.10553,0.15844,0.06329,0.37468,6.828,4.111,5.916,6.783,4.007,5.858,0.889,1.0,0.667,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,1.946,0.02483,3.714,1
23,1.53,1.277,1.53,1.759,1.53,0.06171,0.06171,0.41197,0.06171,0.14372,0.14372,0.14372,0.00496,0.00242,0.00496,0.01947,0.00496,0.16129,0.13458,0.16103,0.13707,0.16132,10.5317,7.84267,10.5317,8.65312,10.5317,12.35581,9.84723,12.35581,10.63972,12.35581,0.15758,0.12273,0.15758,0.12894,0.15758,0.00061,6e-05,0.00061,0.00117,0.00061,3.0,4.0,4.0,3.0,4.0,4.0,1180,0.554,0.566,0.999263,0.888727,0.836661,0.00113,0.00067,0.00113,0.00176,0.00113,0.07859,0.07859,0.44055,0.07859,0.17581,0.17581,0.17581,11.343,8.06,11.343,10.628,11.343,0.132,0.132,0.132,0.19,0.19,1,0.19,0.0,0.0,0.0,0.0,0.0,6.0,7.924,7.94,0.0,0.562,0.253,0.0,0.092,0.04,0.0,0.0,0.06,4.949,4.963,0.0,0.423,0.25,0.0,0.072,0.037,0.0,5.591,6.244,4.585,8.339,8.371,8.244,6.879,3.584,5.124,0.09515,0.01593,0.11974,0.10339,0.04825,0.07963,0.1737,0.03057,0.15921,6.812,2.833,4.796,6.783,2.833,4.787,0.467,1.0,0.4,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,3.555,0.1096,4.949,0
14,1.293,1.291,1.293,1.295,1.293,0.40847,0.40847,0.51759,0.40847,0.724,0.724,0.724,0.00095,9e-05,0.00095,0.00022,0.00095,0.1743,0.17845,0.16126,0.18827,0.17609,6.69208,5.99146,6.69208,6.47389,6.69208,8.41627,7.70301,8.41627,8.13153,8.41627,0.15144,0.14295,0.15144,0.15894,0.15144,5e-05,0.0,5e-05,6e-05,5e-05,4.0,5.0,5.0,5.0,4.0,5.0,1025,0.599,0.556,0.997223,0.886168,0.870613,0.00038,0.0,0.00038,6e-05,0.00038,0.4528,0.4528,0.60934,0.4528,0.71855,0.71855,0.71855,6.812,6.045,6.812,6.518,6.812,0.286,0.286,0.286,0.314,0.314,1,0.314,0.0,0.0,0.0,0.0,0.0,2.0,4.369,4.796,4.078,0.033,0.038,0.025,0.004,0.004,0.009,0.0,0.0,2.398,2.996,2.197,0.028,0.053,0.03,0.003,0.004,0.008,4.407,4.852,3.761,8.298,7.935,7.866,4.682,2.197,3.714,0.04075,0.0152,0.18396,0.1046,0.04797,0.07773,0.06184,0.02294,0.2867,4.644,2.197,3.714,4.575,1.792,3.584,0.81,1.0,0.5,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,2.833,0.08437,4.111,0
13,1.71,1.697,1.71,1.704,1.711,0.20005,0.20005,0.53347,0.20572,0.35484,0.35484,0.36499,0.00128,0.00077,0.00128,0.00058,0.00105,0.15957,0.16755,0.158,0.16315,0.1596,8.69935,7.21229,8.69935,7.74716,8.6718,10.53215,8.99566,10.53215,9.55768,10.50548,0.1507,0.14817,0.1507,0.14855,0.15044,0.00069,0.00022,0.00069,0.00022,0.00042,3.0,4.0,4.0,3.0,4.0,4.0,1262,0.532,0.553,0.99961,0.789778,0.777391,0.00093,0.00038,0.00093,0.00045,0.00071,0.20469,0.20469,0.54907,0.21026,0.36494,0.36494,0.3749,8.677,7.176,8.677,7.711,8.644,0.213,0.213,0.213,0.258,0.258,1,0.258,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.714,4.977,3.367,6.475,7.023,6.05,6.671,4.431,5.919,0.13463,0.0622,0.38366,0.10219,0.0712,0.09313,0.18673,0.08833,0.44687,6.645,4.369,5.892,6.588,4.344,5.844,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,2.079,0.02448,3.989,0
5,1.218,1.216,1.218,1.215,1.218,0.08485,0.08485,0.17593,0.08485,0.21427,0.21427,0.21427,0.0007,0.0,0.0007,0.00143,0.0007,0.08681,0.08929,0.08455,0.10606,0.08564,4.00733,2.77259,4.00733,3.3322,4.00733,6.46925,5.16479,6.46925,5.52545,6.46925,0.04354,0.0258,0.04354,0.04332,0.04354,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,942,0.624,0.561,0.986564,0.634959,0.720003,0.08823,0.0,0.08823,0.0,0.08823,0.19219,0.19219,0.53583,0.19219,0.29759,0.29759,0.29759,8.76,7.502,8.76,8.212,8.76,0.0,0.0,0.0,0.098,0.098,1,0.098,2.0,2.0,2.0,2.0,2.0,4.0,6.818,7.872,6.028,1.0,1.0,1.0,0.263,0.361,0.223,3.0,0.502,3.555,4.111,2.89,1.0,1.0,0.567,0.172,0.188,0.13,4.905,5.613,4.407,6.593,6.582,6.78,1.609,0.0,0.693,0.0,0.0,0.00747,0.00728,0.0,0.00935,0.0,0.0,0.00433,2.833,0.0,1.099,2.639,0.0,1.099,0.887,1.0,0.333,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,1.946,0.01365,4.304,1
19,1.288,1.241,1.321,1.273,1.27,0.07478,0.06213,0.37464,0.23198,0.18923,0.15714,0.59346,0.00021,3e-05,0.00031,4e-05,0.00013,0.05477,0.04812,0.0537,0.05221,0.05188,9.77383,7.30586,9.95821,8.18451,8.65277,12.67892,10.34097,12.88405,11.13771,11.61239,0.05277,0.04232,0.05185,0.04808,0.04859,6e-05,0.0,0.0002,0.0,0.0,2.0,4.0,3.0,4.0,3.0,3.0,2495,0.287,0.677,0.985424,0.8666,0.517338,0.0007,0.0001,0.00164,8e-05,5e-05,0.09395,0.0765,0.44131,0.27372,0.21052,0.17141,0.61475,10.171,7.527,12.125,8.345,8.879,0.0,0.0,0.0,0.222,0.222,1,0.222,0.0,0.0,0.0,0.0,0.0,1.0,1.946,2.773,1.946,0.005,0.01,0.004,0.001,0.002,0.001,0.0,0.0,0.693,1.792,0.693,0.004,0.018,0.006,0.001,0.002,0.001,4.357,4.71,3.951,7.017,6.848,7.236,6.662,3.332,5.03,0.07199,0.01372,0.13355,0.04652,0.03054,0.03385,0.09069,0.01925,0.19746,6.671,3.296,4.997,6.644,3.296,4.97,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,2.303,0.00534,5.916,0
21,1.555,1.562,1.555,1.575,1.555,0.22701,0.22701,0.25981,0.22701,0.83872,0.83872,0.83872,0.00141,0.00216,0.00141,0.0014,0.00141,0.12209,0.11003,0.12054,0.12472,0.12223,7.76557,6.45834,7.76557,7.63434,7.76557,9.86573,8.6632,9.86573,9.71462,9.86573,0.11106,0.09117,0.11106,0.11255,0.11106,0.00089,0.00082,0.00089,0.00067,0.00089,3.0,4.0,4.0,4.0,3.0,4.0,786,0.675,0.565,0.97552,0.888727,0.933213,0.0016,0.00082,0.0016,0.00161,0.0016,0.28413,0.28413,0.33109,0.28413,0.84672,0.84672,0.84672,8.931,7.878,8.931,8.851,8.931,0.179,0.179,0.179,0.205,0.205,1,0.205,0.0,0.0,0.0,0.0,0.0,16.0,6.415,6.993,5.13,0.578,0.335,0.163,0.051,0.043,0.031,0.0,0.057,3.951,4.71,2.079,0.386,0.349,0.054,0.056,0.053,0.015,5.93,6.553,5.1,7.67,7.61,7.48,4.762,0.693,2.303,0.00372,0.00032,0.01706,0.07976,0.00196,0.02041,0.06193,0.00631,0.06378,4.691,0.693,2.197,4.625,0.693,2.197,0.711,1.0,0.455,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,3.219,0.05741,5.081,0
13,1.358,1.338,1.34,1.358,1.365,0.11776,0.0481,0.51595,0.33075,0.22253,0.0908,0.6281,0.00272,0.00397,0.00285,0.00418,0.00338,0.15261,0.1413,0.15922,0.1471,0.14528,10.84675,8.76639,11.73988,9.38455,9.82157,12.72639,10.7228,13.57674,11.3008,11.75031,0.14957,0.13336,0.15726,0.14103,0.14044,0.00085,0.00301,0.00073,0.00255,0.00169,3.0,4.0,4.0,3.0,4.0,4.0,2852,0.24,0.559,0.999998,0.670881,0.448962,0.00508,0.00552,0.00535,0.00457,0.00491,0.13193,0.05632,0.55227,0.35119,0.2367,0.101,0.63115,10.875,8.927,11.787,9.511,9.902,0.0,0.0,0.0,0.439,0.439,1,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.812,5.273,3.434,7.369,7.365,6.672,7.08,4.344,5.974,0.11341,0.0367,0.26588,0.11913,0.06492,0.10747,0.19797,0.06456,0.30579,7.052,4.29,5.94,7.027,4.29,5.905,0.791,1.0,0.412,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,3.045,0.06063,4.762,1
21,1.654,1.687,1.654,1.654,1.654,0.35888,0.35888,0.35888,0.35888,0.92406,0.92406,0.92406,0.00755,0.01099,0.00755,0.00755,0.00755,0.12153,0.17093,0.11311,0.12299,0.12252,5.79909,5.09375,5.79909,5.79909,5.79909,7.88646,6.83303,7.88646,7.88646,7.88646,0.09519,0.12103,0.09519,0.09519,0.09519,0.00044,0.00025,0.00044,0.00044,0.00044,3.0,4.0,4.0,5.0,3.0,4.0,614,0.736,0.555,0.948173,0.518983,0.763664,0.00094,0.00025,0.00094,0.00094,0.00094,0.30379,0.30379,0.30379,0.30379,0.98996,0.98996,0.98996,7.432,7.085,7.432,7.432,7.432,0.085,0.085,0.085,0.201,0.201,1,0.201,28.0,53.0,73.0,10.0,73.0,3.0,8.181,8.843,7.597,1.0,1.0,1.0,0.328,0.37,0.351,4.0,0.382,5.561,6.186,4.431,1.0,1.0,0.822,0.276,0.318,0.197,3.761,4.382,3.401,7.027,6.896,7.154,5.247,2.485,3.738,0.06786,0.01451,0.10472,0.10785,0.03242,0.06423,0.17092,0.04038,0.18873,5.187,2.079,3.584,5.124,2.079,3.526,0.807,1.0,0.467,0.028,0.184,1.0,0.063,0.07,0.063,0.184,1.0,0.07,0.06,0.063,0.184,0.028,0.001,0.001,0.001,2.833,0.07647,4.205,0
11,1.214,1.18,1.214,1.192,1.214,0.10723,0.10723,0.30419,0.10723,0.33497,0.33497,0.33497,0.00202,0.0013,0.00202,0.00086,0.00202,0.17066,0.14248,0.16957,0.15348,0.17079,9.27115,7.17012,9.27115,8.24381,9.27115,11.0376,9.11636,11.0376,10.11666,11.0376,0.16351,0.12535,0.16351,0.14253,0.16351,0.00013,0.0,0.00013,1e-05,0.00013,4.0,4.0,4.0,4.0,3.0,4.0,960,0.619,0.551,0.998995,0.781618,0.884886,0.00183,0.00104,0.00183,0.00098,0.00183,0.13946,0.13946,0.35254,0.13946,0.38836,0.38836,0.38836,10.075,8.075,10.075,9.016,10.075,0.123,0.123,0.123,0.143,0.143,1,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.944,3.219,1.946,5.805,5.9,4.852,5.684,2.996,4.727,0.0581,0.02192,0.25401,0.04554,0.01838,0.0312,0.12,0.05562,0.43187,5.666,2.996,4.736,5.645,3.045,4.736,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099,0
